id,texto,emocion,grupo,estudiante

751,"Cambiando de tema, cómo me jode que utilicéis una imagen de El Señor de los Anillos pa vuestras mierdas, siendo de mis pelis favs, coño. #ElecccionesGenerales28A #EleccionesL6 https://t.co/DJOi5r41Kz",anger,D,4
752,Ahora es #OperacionLiberdad #Venezuela #JuntosPodemos Un pueblo unido jamás será vencido. #Venezuelan USER USER https://t.co/C1COgnZK2V,joy,D,4
753,Los militares siguen pidiendo asilo a países vecinos. #30Abr #Venezuela https://t.co/6lhrzc6Pyx,other,D,4
754,"Mi solidaridad con los parisinos, con la alcaldesa de París USER y con toda Francia por el incendio de la emblemática catedral de  #NotreDame, patrimonio arquitectónico, cultural y religioso de la humanidad. una pena https://t.co/DzIQZCA5SR",disgust,D,4
755,"Porque no envió a su ejercito a destrozar todo y en el proceso el cebo muera, No, tiene que ir el mismo en persona exponiéndose a lo que cualquiera con dos neuronas sabría es una trampa. #juegodetronos",anger,D,4
756,"USER USER USER así es, sin embargo #Assange ha sido cruelmente juzgado y condenado por los potentados del Reino Unido, Suiza, EEUU.... #AssangeEnPeligro #NotreDame",anger,D,4
757,Arrinconado el #Barça por un ordenado #Liverpool que domina EL ST... #ChampionsLeague,surprise,D,4
758,#GeneraciónGreta: seis adolescentes en lucha contra el statu quo https://t.co/1cwkkSkx09 #EmmaGonzález #WillConnolly #AnunaDeWeber #JazzJennings #AhedTamimi #AhedTamimi #GretaThunberg,surprise,D,4
759,Esperando impacientemente las primeras declaraciones De AZNAR ! La Mano que mece la Cuna de la Derecha ! #ElecccionesGenerales28A,joy,D,4
760,"Quiero que entréis en pánico, porque la casa está en llamas, afirmó #GretaThunberg https://t.co/NjxKGbseuY",other,D,4
761,"Primeros datos de escrutinio confirmarían los sondeos. Victoria clara de #PSOE, hundimiento del #PP y sin sorpasso alguno de #Vox, sin mayoría de gobierno ni en izquierda ni en derecha. Escrutado solo 4%, noche todavía larga #ElecccionesGenerales28A #Elecciones28A #CanalSur28A https://t.co/vyCrHmp6e0",other,D,4
762,"#FridaysForFuture USER tiene aún carita de bebé, pero ya es toda una #influencer a nivel mundial. Su lucha por el #CambioClimático ha provocado que incluso se publique un libro con sus discursos más emotivos. #RDCL #ClimateStrike #GretaThunberg https://t.co/WoRqekSMis https://t.co/mojLPKCrGl",surprise,D,4
763,"Aún no se puede dar por eliminado al #Tottenham, de todas las derrotas posibles en su campo, el 0-1 es la mejor de todas, ahora solo tienen que salir a ganar en #Ajax y con eso se inscribirían en la Final de la #ChampionsLeague, aunque veo muy favorito al #Ajax.",other,D,4
764,Espero que todos ya estén listos para gritar los goles del Barça!! porque hay que creer y confiar que mañana ellos van a ganar🤗🤗 ♥️💪⚽⚽#ChampionsLeague #Barça,joy,D,4
765,"Cuando hay quilombo en #Venezuela, que hablen los kirchneristas y listo. #NoVuelvenMas",anger,D,4
766,Algunas imágenes que nos dejó la jornada de hoy en #Caracas #venezuela #30A #Crisis #photography #photojournalism #clashes https://t.co/ErS14OFf4n,sadness,D,4
767,No pudo haber mejor combinación descanso y día de Champions 😎😎😋🤩 #ChampionsLeague #DíaDelTrabajo,joy,D,4
768,Menos mal que aún no nos hemos vuelto locos del todo.... ahora USER y USER hacer por una vez caso al pueblo y dejar de lado a los de la derecha. No te unas a ninguno de ellos. El pueblo no los quiere #28A #ElecccionesGenerales28A,fear,D,4
769,"Ayer mucho lloré. Unos me dirán ""loca, llorar por un edificio antiguo"" y otros, ""normal, llorar por un edificio antiguo"". #NotreDame",sadness,D,4
770,La Gran Guerra de #JuegoDeTronos nos ha dejado muchos momentos para el recuerdo y unas cuantas dudas https://t.co/UE7lCgLSez https://t.co/OO3tjUR34c,other,D,4
771,La #CIDH se reune de urgencia para analizar situación de #Venezuela vía EFE,other,D,4
772,"CULTURA ➡️ #SanJuan USER pone la tinta descubridora al #DiaDelLibro El catedrático de Historia Moderna de la USER el sanjuanero David González Cruz, presenta las dos últimas investigaciones https://t.co/IkgvaYl8J3",other,D,4
773,"Muy de acuerdo con Usted, Laura. #NotreDame https://t.co/LWXbivmoXX",anger,D,4
774,Qué gol tan USER el de Messi. #ChampionsLeague,surprise,D,4
775,Me preocupa que la suma PSOE Ciudadanos da mayoría absoluta... #28A #ElecccionesGenerales28A,fear,D,4
776,Fracaso total el nuevo intento de golpe de Estado en #Venezuela. .. otra derrota más para Goliat,joy,D,4
