id,texto,emocion,grupo,estudiante
601,"#Venezuela #VenezuelaSeRespeta #GolpeDeEstado #GolpeDeEstadoEnVenezuela #GolpeDeEstadoEstadounidenseFracasaEnVenezuela Las RATAS infrahumanas Yanquis fracasan en una maniobra exterior errática y confusa,#RUSIA avisó a Maduro de que no viajará como tenía previsto hoy",disgust,D,1
602,Desaparece la segunda colonia más grande de #pingüinos luego de que se ahogaran miles de crías https://t.co/vGYDYu3ij0 via USER #ClimateChange #FossilFuels #AnimalHusbandrty #SixthMassExtinction #XR #GretaThunberg,others,D,1
603,USER Es una falta de respeto q no hables de USER q se quedo sin su hogar #NotreDame,anger,D,1
604,"Y para terminar el #diadellibro no puedo dejarme uno que para mí supuso un antes y un después en mi vida. Alguien me abrió los ojos de una manera bestial y siempre estaré eternamente agradecida. ""Educación, hándicap e inclusión"" de Nacho Calderón USER https://t.co/U7n2LR5Zuz",joy,D,1
605,"Que dolor la noticia, pero se que ustedes van a salir de las cenizas, como siempre lo hicieron 🙏❤ #NotreDame #Paris",sadness,D,1
606,Que devastador lo de #NotreDame 😢 no parece que va a quedar mucho...,sadness,D,1
607,"Hoy 15marzo ,el alumnado de 2 ESO del USER concienciado con el movimiento global contra el #CambioClimatico #Agenda2030 USER #GretaThunberg https://t.co/0rial9Hn1o",others,D,1
608,"Lo que sea?...de que se trata ese ""Lo que sea""?...en verdad no sé, que tiene que ver una cosa con la otra?...creo que sólo tratas de generar tu show mientras en #Venezuela se sigue sufriendo con un dictador como USER https://t.co/Bd8GxMiR2x",anger,D,1
609,"#NotreDame #15Abr Triste momento, se cae a pedazos la aguja de La Catedral de Notre Dame, con más de 600 años de antigüedad. USER https://t.co/1DvxEyy8PY",sadness,D,1
610,"Un gol para el recuerdo, el recuerdo del mejor jugador de todos los tiempos. USER USER USER #ChampionsLeague https://t.co/gSbAuy3iuc",joy,D,1
611,USER #DCsucia. Incitadores golpistas. Así.lo hizo.el sucio Alwyn para derrocar Allende. #GolpeEstado #Venezuela,disgust,D,1
612,"Apelar a un símbolo de unidad como #NotreDame cuando tenemos una Francia dividida y en una de sus peores crisis social de las últimas décadas, también es casualidad",others,D,1
613,"#GrupodeLima expresa su pleno respaldo al proceso constitucional y popular emprendido por el pueblo venezolano, bajo el liderazgo del Presidente Encargado, Juan Guaidó, para recuperar la democracia en #Venezuela; y rechazan que dicho proceso sea calificado como golpe de Estado.",others,D,1
614,ARYA SIENTATE EN EL PUTO TRONO DE HIERRO! #JuegodeTronos,anger,D,1
615,"Deseamos un feliz #DiaDelLibro a todos nuestros amigos y seguidores. Dejadme que os cuente un secreto: los muy lectores, en realidad, lo celebramos cada día al elegir un libro, abrirlo y ponernos a leer. https://t.co/3Rmz8Wmfbf",joy,D,1
616,En un día de tensiones en #Venezuela y un paisaje nacional con las objeciones de la #JEP y un enredo con el USER hablar de fútbol es relajante un USER luchando por un cupo y un USER sobresaliente en la #ChampionsLeague,joy,D,1
617,Messi es el puto amo #ChampionsLeague,joy,D,1
618,#ChampionsLeague esos son los árbitros que hicieron campeón al Real Madrid puto vendido era penal a favor Barcelona,anger,D,1
619,Lo de #NotreDame es terrible en todo punto de vista. Una obra que ha sobrevivido a muchas cosas en sus 800 años de vida está cerca del colapso.,sadness,D,1
620,Este si es un verdadero capítulazo de la última temporada. ¡BRUTAL! #JuegoDeTronos,joy,D,1
621,El Barça tiene la necesidad de ir este verano a por Rodri.....#ChampionsLeague,others,D,1
622,"El alcalde USER confirma que #Antequera honra la memoria de uno de sus ilustres hijos predilectos, Juan Alcaide de la Vega, mediante la edición de este libro póstumo que nos traslada “a aquella Antequera de los años 30” #DíadelLibro https://t.co/kuXfB3gZRx",others,D,1
