id,texto,emocion_original,grupo,estudiante
1,"¿Conoces a #GretaThunberg ? Es la activista de 16 años sueca, cabeza del movimiento #Fridays4Future contra el cambio climático. ➡Hoy más de 1.600 ciudades de 100 países secundarán la huelga juvenil por el clima ➡En España se concentrarán en 49 ciuda… https://t.co/DpqpwaChna",others,A,1
2,Lo que puede destruir el fuego! qué pena ver cómo devora lo que encuentra en su camino ¡qué pérdida cultural más desgarradora! Las dos torres por lo menos parece que se han salvado y la estructura también... #NotreDame,sadness,A,1
3,USER El pueblo de #venezuela y su gobierno legítimo han dado una nueva lección al mundo de que no son lo que los medios extranjeros cuentan sobre ellos.,joy,A,1
4,Voy a hacer palomitas para ver como acaba el dia de hoy 🤓😂#Elecciones28A #Elecciones2019 #JuegodeTronos,others,A,1
5,"Fer describe muy bien el conflicto de #Venezuela, al final, el único perdedor ha sido el pueblo. #VenezuelaLibre #FueraMaduro https://t.co/83nASZUdlG",sadness,A,1
6,"La catedral de #NotreDame se salvó de los nazis, pero no de un gásfiter. Qué horror https://t.co/Y9mT316H3o",sadness,A,1
7,CAMPEEONEESSS CAAAMPEEEONESS OLÉ OLÉ OLÉ!!!! #Champions #LaLiga #VISCABARCA USER USER,joy,A,1
8,Así me quedé hoy con el capitulo de #JuegoDeTronos #gameofthrones #FelizDomingo https://t.co/e8YeT88hzh,others,A,1
9,Gracias al VAR esto ya no es fútbol... Es Handball cualquiera puede poner la mano y no lo pitan!!! #ChampionsLeague #BarçaLFC,sadness,A,1
10,Desde Cuenca en Ecuador siguiendo los comentarios de USER en el #BarçaLevante esperando se dé el resultado para celebrar el campeonato de #LaLiga saludos ⚽️🎉 #ForçaBarça https://t.co/ZLnEnQC4bs,others,A,1
11,"Muchos errores del Barcelona en el segundo tiempo, que el Liverpool no ha podido aprovechar #ChampionsLeague",others,A,1
12,USER se ha convertido en un icono del activismo ecológico a nivel planetario. Da esperanza ver a jóvenes peleando de esta manera #GretaThunberg https://t.co/QxHWFgmYkQ,joy,A,1
13,Atentos al lenguaje no verbal de unos y otros... #ElecccionesGenerales28A,others,A,1
14,"No logro contactar con un amigo en #Venezuela y me da miedo. Me dijeron que ya se terminó el ""golpe"" y ya sólo hay manifestaciones civiles... Pero no saber nada, me angustia. Es que desde España no se qué ocurre allí, ni cómo están los ciudadanos...",fear,A,1
15,"Los mismos estudiantes que se dicen estresados, serán los que querrán jornada laboral de 5 horas. #FlojosQLS #DiaDelLibro https://t.co/kdzQOZ81aP",others,A,1
16,"USER USER Madre mía que horror!! Y en USER les defeinden. Miseria humana... que rabia, que impotencia ver esto y no poder hacer nada y tener en nuestro país a gentuza que lo defienda!!! #venezulea #unidaspodemos #asesinos #maduro #venezuelalibre",disgust,A,1
17,Uno llega a ser grande por lo que lee y no por lo que escribe. #Borges #DiaDelLibro,joy,A,1
18,La cago messi que gol #ChampionsLeague,surprise,A,1
19,El fútbol es tan injusto con el liverpool #ChampionsLeague,sadness,A,1
20,"“No es tiempo de Casado”, decían. Pero nadie hizo caso... #ElecccionesGenerales28A",others,A,1
21,"Tras la Torre Eiffel, la catedral de #NotreDame era la estructura más visitada y admirada de París. https://t.co/xCn8gz4Di5",others,A,1
22,Mariano y Soraya Enel #budabar esta noche USER USER USER #vayavaya #ostion #batacazo #jajaja #nolovivenir #mepiro #ElecccionesGenerales28A https://t.co/BF8nUYpDoL,others,A,1
23,Enfrentamiento de hoy en las semifinales de la #UEFA #ChampionsLeague: #Barcelona vs #Liverpool https://t.co/1O5ByqLytg,others,A,1
24,#ElecccionesGenerales28A Ale #fracasado vete a estudiar un máster,others,A,1
25,Me pone super triste lo de Notre Dame... Un daño irreparable a tal monumento histórico 💔 #NotreDame,sadness,A,1
26,Defendamos la soberanía de #Venezuela No más intervencionismo Yanqui https://t.co/H8VLaPX7Nl,others,A,1
27,Y mientras tanto hay alguien muy feliz en su casa... #EleccionesA3N #EleccionesRTVE #LIARLAPARDO28a #28abrilElecciones #ElecccionesGenerales28A https://t.co/WFszv6gBbC,others,A,1
28,"Bueno, después de dejarme #JuegodeTronos por sentirme estafado en los primeros 23 capítulos, me hicieron un update, vi el 8x03 ayer (por ver el desarrollo técnico) y menos mal que decidí dejar la serie. He visto cosas MUY interesantes, pero me sigue dando tremenda pereza.",sadness,A,1
29,Y todo porque hoy es miércoles de #championsxESPN #ChampionsLeague #ChampionsxFOX https://t.co/dPyDjnnqSU,others,A,1
30,"USER USER Para mí ha sido una decepción, la batalla de 10, pero el final decepcionante para mí #JuegodeTronos ya ha terminado....",sadness,A,1
31,La espera a merecido la pena... El mejor capítulo de las 8 temporadas 😱😱😱 #JuegodeTronos #GameOfTrones USER https://t.co/tB3Wi9zoTM,joy,A,1
32,"Con #VenezuelaLibre las esperanzas de todo el continente se ven levantadas con Fe y Fuerza, pronto estaremos libres de la lacra del Siglo XXI y sobre todo de tiranos dictadores como USER , los #plurinarcos y sus #opositoresfuncionales. Adelante USER https://t.co/24NhVnVbpx",others,A,1
33,"""Soy una niña que dice que otras personas están robando mi futuro"" #GretaThunberg, activista sueca símbolo de las protestas por el clima https://t.co/XGlcxp4aUQ",sadness,A,1
34,#DíaDelLibro (y otra vuelta más al sol para mí) 💙💙💙💙💙 https://t.co/F8z7WbiZou,others,A,1
35,El libro que me han regalado hoy. Feliz #DiaDelLibro #SantJordi USER USER 📚🖤 https://t.co/AmwnoDdf6K,joy,A,1
36,Pompeo dice que Maduro estaba listo para dejar Venezuela y Rusia lo impidió https://t.co/9AoTR7NWVb #DL #DiarioLibre #Actualidad #Internacional #Venezuela #CrisisVenezolana,others,A,1
37,"Quedan tres capítulos para que juego de tronos se acabe para siempre, aún no sé cómo voy a gestionar todo esto. #VivePoniente #JuegoDeTronos #GameofThrones",fear,A,1
38,Casado a FraCasado. Fin de la cita. #ElecccionesGenerales28A https://t.co/r3XqXHll3a,others,A,1
39,"Queda poco para el tercer capitulo de #JuegoDeTronos ¿cuantos personajes conocidos cascan hoy? Hagan juego señores... USER USER USER USER USER USER USER Voy a ser conservador ""solo"" 5... https://t.co/LPH8pPUYfs",others,A,1
40,"Nuestros amigos de USER han sacado historias profundamente conmovedoras con #Venezuela, de ingenios para convivir con una economía de realismo mágico, de valentías que se van a lo desconocido y de desesperanzas en medio de oscuridades que duran días.",sadness,A,1
41,Yo pondría a jugar a Raúl de Tomás 😂 #LaLiga #RayoRealMadrid #RealMadrid https://t.co/oRmsOblaYq,joy,A,1
42,"Hoy en el #DiaDelLibro te invitamos a conocer la Librería Mar Adentro, y a disfrutar con el gran acerbo de títulos con los que cuenta. ¡Muchos de estos enfocados en la historia de Veracruz! ✨📓 USER https://t.co/TZfoxQfnor",joy,A,1
43,Victoria para Venezuela!!!!!!!!!!! Maduro YA NO ESTÁ EN VENEZUELA! #Venezuela,joy,A,1
44,España tendrá un Presidente del Gobierno SOCIALISTA Enhorabuena USER Gracias a todas las personas que con su voto lo han hecho posible #HazQuePase ✊🌹 #ElecccionesGenerales28A,joy,A,1
45,Habeis dejado sin sueldo a Maroto. Os quiero. #ElecccionesGenerales28A,joy,A,1
46,Espero q USER en vez d bloquear su cuenta use USER donde trabaja para pedir perdón #NotreDame https://t.co/lvXZoRBM2W,anger,A,1
47,El incendio de #NotreDame es una tragedia para el patrimonio de la humanidad. #Cultura #Patrimonio https://t.co/pGYlCXQ1tV,sadness,A,1
48,"USER USER USER USER Muchas felicidades por vuestro enorme resultado esta noche, seguir así .#ElecccionesGenerales28A",joy,A,1
49,"Hablando de libros, ""el conde de Montecristo"" se mantiene como mi favorito...""Siempre tuve más miedo a una pluma y un tintero"". #DiaDelLibro",others,A,1
50,Que clase táctica están dando estos dos Equipos... bendita #ChampionsLeague USER vs USER,others,A,1
51,"RT WContreras_: En el #DíaDelLibro hacemos un reconocimiento a quienes escriben, y sobre todo a los lectores. Es una fecha para festejar la lectura la creatividad, la cultura, la igualdad de acceso al conocimiento y la diversidad para todo nuestro pueblo… https://t.co/OPXzzu4CGZ",others,A,2
52,No deis crédito a tweets en los que ni siquiera distinguen una catedral de otra. Solo quieren trolear y sacar tajada de una desgracia como la de #NotreDame 😓 ¡Qué pena!,anger,A,2
53,Por Dios!!!!! Que el mundo lo vea!!! Así son los gobiernos populistas!!!! Dios nos libre que vuelvan las mierdas a la argentina. #venezuela rezamos por ustedes!!! #TodaVenezuelaALaCalle https://t.co/7MLqod10M5,disgust,A,2
54,#Laliga #Barcelona se consagró #bicampeón de la mano de #Messi https://t.co/E1M2HJtpV0 https://t.co/dD13mqlo91,others,A,2
55,"¡Feliz Día Internacional del Libro! 📖📚 #DíaDelLibro #DíaInternacionalDelLibro ""Érase una vez la historia de niñas y niños increíbles que por alguna razón desconocida vinieron al mundo para transformar familias corrientes en... https://t.co/DGh1nh0JQo",joy,A,2
56,"Os olvidáis de que, aunque no salga la derecha, VOX tiene una gran representación parlamentaria. La lucha no acaba aquí. #ElecccionesGenerales28A",others,A,2
57,"A todos los Hijos de Puta que están poniendo la imagen del momento Cumbre de #JuegodeTronos y haciendo el spoiler del siglo no he caído pero en nombre de los que se lo han comido o pueden, iros a tomar por culo escorias. Perdón por el vocabulario los demás. #GameofThrones",anger,A,2
