id,texto,emocion
3451,"El mundo llora #NotreDame : catástrofe, hecatombe, fatalidad... Los millonarios ofrecen su pasta generosa (y deducible) para su restauración. #Europa llora el desastre. Una pena, sin duda. Pero...¿esta es la verdadera #tragedia de nuestro continente? (Gracias Forges) https://t.co/0AyDxQ9hmh",sadness
3452,"#Sinceramente: Si alguien me pidiera que definiera a #MauricioMacri en una sola palabra, la única que se me ocurre es: #CAOS. Sí, USER es el caos y por eso creo firmemente que hay que volver a ordenar la #Argentina #Mendoza #DiaDelLibro #CaeCarrio #TardeParaVolar #FMI https://t.co/eruofut2x2",others
3453,"Activista de 15 años: ""No hemos venido aquí a rogar a los líderes mundiales que se preocupen. Hemos venido aquí para hacerles saber que el cambio está llegando, les guste o no. El poder real pertenece al pueblo"" 👏🏼 #GretaThunberg #COP24 #ClimateAction https://t.co/QCbXuat7MA",anger
3454,Que coño acabo de ver en juego de tronos!?!?! Flipando 😱😱#Got8x03 #JuegodeTronos,surprise
3455,RESUMEN #LaLiga | Así fue el ATLÉTICO 1-0 VALLADOLID que se decidió… https://t.co/AGinPp7xmR Ver: https://t.co/rCTe9N4DGE,others
3456,"Reino Unido declara el cambio climático como emergencia nacional https://t.co/3n0ShCH0mt #calentamientoglobal #cambioclimatico #gretathunberg #reinounido via USER . RECIÉN SE DAN CUENTA, ESPEREMOS, QUE NO SEA DEMASIADO TARDE PARA ELLOS.",others
3457,#ChampionsLeague USER jugando 12 minutos muy buenos. Se ve más equipo. Pero en USER hay varios monstruos que no necesitan empalmarse con sus compañeros,others
3458,Horrible la calidad de la imagen con tanta oscuridad. Al menos en mi tele y HBO. Frustrante. #JuegodeTronos,anger
3459,"Greta Thunberg es la adolescente que conmueve al mundo con su cruzada contra el cambio climático, antes de que sea demasiado tarde. https://tinyurl.com/yyn4skw5 Vía USER #cambioclimatico #GretaThunberg",joy
3460,"🌹📚Hoy hemos pasado una diada de #SantJordi2019 espectacular entre compañeros, rosas y libros. Espero que lo hayáis disfrutado tanto como yo #FelizSantJordi #DíaDelLibro #DiaDelLlibre USER USER https://t.co/F6VpScF9sc",joy
3461,Sin tiempo para descansar. Llevamos 8 horas y las urnas se van llenando. #ElecccionesGenerales28A https://t.co/r5suslvOPe,others
3462,"¡NUNCA CAMINARÁS SOLO! Para esta semifinal de #ChampionsLeague, #Liverpool ayudó a sus hinchas pagando el 25% de la entrada para ingresar al Camp Nou, esto al considerar que los precios establecidos por #FCBarcelona eran muy elevados (119 euros) https://t.co/k8z02BUBaz",anger
3463,Quien ganará en la ida de la #Semifinal de la USER entre USER vs USER ? #ChampionsLeague #barcalfc #Barca #LiverpoolBarca #Liverpool #CampNou,others
3464,"Hoy en nuestro blog os recomendamos 10 libros para todos los gustos, todas las edades y todos los bolsillos. ¡Feliz #DiaDelLibro! https://t.co/qkLKUglCXM https://t.co/njQHaPktXf",joy
3465,Quinta conclusión: el Falcon va a agotar existencias de diésel #ElecccionesGenerales28A #eleccionesA3N,others
3466,"VAYA PUTA TELA, NECESITO UNA TILA. #JuegodeTronos",others
3467,"Bueno , pues a esperar nuestro destino con o sin independes , preparando el bolsillo , #ElecccionesGenerales28A",others
3468,Esta animación es sencillamente preciosa!!! https://t.co/5d4shKt9KG #DiaDelLibro #SantJordi #ilustracion,joy
3469,La duda que no me deja dormir; ¿Cuantos dragones quedaron vivos? #Gameofthrones #HBOLAT #JuegoDeTronos,others
